comment_id,sentiment_pred,sarcasm_pred,sentiment_proba_neg,sentiment_proba_neu,sentiment_proba_pos,sarcasm_proba_sarcastic,final_interpretation,sentiment_score,sarcasm_score,confidence_max,neutrality_bias,margin
ncwd5yg,LABEL_1,sarcastic,0.0015985362,0.99451846,0.003883045,0.9369509,neutral (sarcastic unclear),0.0022845087999999996,0.9369509,0.99451846,0.99451846,0.990635415
ncwfqwp,LABEL_1,not sarcastic,0.0030767112,0.993582,0.0033412583,0.0011704264,neutral,0.0002645471,0.0011704264,0.993582,0.993582,0.9902407417
ncwxipu,LABEL_1,not sarcastic,0.042729016,0.9476532,0.0096178735,0.0008150413,positive,-0.0331111425,0.0008150413,0.9476532,0.9476532,0.904924184
ncwe5rw,LABEL_0,not sarcastic,0.90524817,0.083156995,0.011594775,0.0029227508,positive,-0.8936533950000001,0.0029227508,0.90524817,0.083156995,0.8220911750000001
ncwinvy,LABEL_1,not sarcastic,0.0016284625,0.9933269,0.005044681,0.0016420409,neutral,0.0034162184999999997,0.0016420409,0.9933269,0.9933269,0.988282219
ncwk0j8,LABEL_1,not sarcastic,0.0024009242,0.99191976,0.00567936,0.0083272755,neutral,0.0032784357999999995,0.0083272755,0.99191976,0.99191976,0.9862404
ncwmc8w,LABEL_1,not sarcastic,0.08070151,0.9026225,0.016675983,0.0015136313,negative,-0.064025527,0.0015136313,0.9026225,0.9026225,0.82192099
ncgo7t6,LABEL_1,sarcastic,0.0014343812,0.9946483,0.003917394,0.9345272,neutral (sarcastic unclear),0.0024830128,0.9345272,0.9946483,0.9946483,0.990730906
ncgpbku,LABEL_1,not sarcastic,0.002581583,0.9941327,0.0032857305,0.00087022356,neutral,0.0007041474999999998,0.00087022356,0.9941327,0.9941327,0.9908469695
ncgrgym,LABEL_1,not sarcastic,0.0016813613,0.9943698,0.0039488357,0.00078326295,neutral,0.0022674744000000004,0.00078326295,0.9943698,0.9943698,0.9904209642999999
ncgvzdb,LABEL_1,not sarcastic,0.0010474306,0.9963491,0.0026033528,0.00064501946,neutral,0.0015559222,0.00064501946,0.9963491,0.9963491,0.9937457472
ncgpyq8,LABEL_1,not sarcastic,0.07546509,0.91667706,0.007857843,0.0013378973,neutral (sarcastic unclear),-0.067607247,0.0013378973,0.91667706,0.91667706,0.84121197
ncgxk15,LABEL_1,not sarcastic,0.06301813,0.9264771,0.010504729,0.0010251118,neutral,-0.052513401,0.0010251118,0.9264771,0.9264771,0.86345897
nch6x1c,LABEL_1,not sarcastic,0.10791947,0.8419707,0.050109737,0.0012876678,positive,-0.057809733,0.0012876678,0.8419707,0.8419707,0.7340512299999999
