comment_id,gold_sentiment,sentiment_pred,body
n8flpb7,-1.0,LABEL_2,ChatGPT trying to weasle itself out by praising how well it's positioned.
mxasmjx,-1.0,LABEL_1,Oh great. I’ll have to log into my car three times before I can turn it on now
mx6al0t,-1.0,LABEL_1,"So now Elon is doing his own pump & dumps, just like Trump."
n284342,-1.0,LABEL_1,"And someone said $320 was free money, glad I skipped that"
mtc5hhl,-1.0,LABEL_1,Bro said poor while he has over 50k
n5nexs5,1.0,LABEL_1,I love tesler!
mw8vxqv,-1.0,LABEL_1,I have 280 puts expiring in July. Going to ride it to the moon.
mzfnbdi,1.0,LABEL_1,This is like turning $100 in to $130 lmao
myp7ch2,-1.0,LABEL_1,"Spy tesla, hit tel aviv, wtf?"
myb2d0t,-1.0,LABEL_1,Those rklb calls… truly regarded
n2mtctp,1.0,LABEL_1,I’ll give you an upvote since I had calls. :)
myv9f68,-1.0,LABEL_1,watch him delay it to after your call expiration
